pot,heating.ring,trt,population,soil,Inocula.source,CORLAN,DALPUR,ECHPUR,LESCAP,RUDHIR,RATPIN,BOUCUR,SCHSCO,ANDGER,KOEMAC,CommTotal,Unknown.Grass,Unknown.Forb,Notes
135,Control 4,Control,local,local remnant,KalHaven,0.001,0.297,1.077,0.645,0.098,0,5.73,0.34,0.269,0,8.457,1.62,NA,
136,Control 4,Control,local,northern remnant,Northern 4,0,0.094,0.005,0.211,0,0,2.87,0.103,0.159,0,3.442,NA,NA,
137,Control 4,Control,southern,northern remnant,Northern 3,0.119,0.035,0.619,0.092,0.096,0.122,8.15,1.74,2.2,0,13.173,0.042,NA,
138,Control 4,Control,local,northern remnant,Northern 3,0.001,0.322,0.066,0.423,0.182,0.049,6.1,0.056,0.093,0,7.292,NA,NA,
139,Control 4,Control,northern,local remnant,Prairie Ronde,7.21,0.033,0.023,0.053,0.026,0,11.01,1.85,1.26,0,21.465,0.884,NA,
140,Control 4,Control,local,southern remnant,Denison,0.007,0.286,0.417,0.259,0.086,0,10.54,0.502,0.014,0,12.111,NA,NA,
141,Control 4,Control,northern,northern remnant,Northern 4,2.59,0.032,0.019,0.057,0.002,0,9.74,1.78,0.732,0,14.952,0.548,NA,
142,Control 4,Control,southern,local remnant,Sauk Trail,0,0,0.002,0,0,0,14.57,0.003,1.74,0,16.315,NA,NA,
143,Control 4,Control,local,local remnant,Prairie Ronde,0,0.536,1.83,1.439,0.105,0,8.07,0.35,0.435,0,12.765,0.013,NA,
144,Control 4,Control,southern,local remnant,Helmer Brook,0.158,0.045,0.628,0.118,0.339,0.198,20.27,2.54,6.11,0,30.406,NA,NA,
